# Brightest masers observable from Warsaw (52.2N) with 60-80cm dish
# Source: MaserDB (maserdb.net) + Eduard Mol EUCARA 2023 results
# Flux values are approximate peak flux densities (variable sources!)
#
# name,ra_j2000,dec_j2000,frequency_mhz,molecule,peak_flux_jy,vlsr_km_s,notes
W3(OH),02:27:04.1,+61:52:22,12178,CH3OH,500,-45,Strong methanol maser. Mol detected with 1m dish.
W3(OH),02:27:04.1,+61:52:22,22235,H2O,200,-48,Water maser. Requires Ka-band LNB.
W49N,19:10:13.2,+09:06:12,22235,H2O,100000,10,Strongest known water maser. Highly variable (10-1e6 Jy).
W49N,19:10:13.2,+09:06:12,1665,OH,100,-5,OH maser. Needs large dish at L-band.
W51,19:23:43.9,+14:30:31,22235,H2O,5000,55,Strong water maser in star-forming region.
Orion KL,05:35:14.5,-05:22:30,22235,H2O,1000,8,Nearest massive star-forming region.
W75,20:38:36.4,+42:37:34,22235,H2O,500,-5,Cygnus X region.
Cepheus A,22:56:17.9,+62:01:49,22235,H2O,300,-3,Star-forming region. Mol detected.
NML Cygni,20:46:25.5,+40:06:59,1612,OH,600,-5,Red supergiant. Strong OH maser.
G188.94+0.89,06:08:53.3,+21:38:29,12178,CH3OH,80,5,Methanol maser. Mol detected with 1m dish.
G9.62+0.20,18:06:14.7,-20:31:32,6668,CH3OH,2000,2,Very strong methanol. Needs C-band LNB (6.7 GHz).
NGC6334-F,17:20:53.4,-35:47:00,12178,CH3OH,800,-7,Southern source -- low elevation from Warsaw.
G34.403+0.232,18:53:18.5,+01:14:58,22235,H2O,200,55,Mol detected water maser.
G25.624+1.050,18:33:31.0,-05:58:04,22235,H2O,100,42,Mol detected water maser.
Cas A,23:23:24.0,+58:48:54,0,continuum,2400,0,Calibration source. SNR. Flux at 1.4 GHz.
Cyg A,19:59:28.3,+40:44:02,0,continuum,1590,0,Calibration source. Radio galaxy. Flux at 1.4 GHz.
Tau A,05:34:31.9,+22:00:52,0,continuum,1040,0,Calibration source. Crab Nebula. Flux at 1.4 GHz.
